Cluster,Editorial,Category,Volume,Issue,Article_Number,Authors,Title
16,,b,6,4,6,Inge Molenaar & Ming Ming Chiu & Peter Sleegers & Carla van Boxtel,Scaffolding of small groups’ metacognitive activities with an avatar
13,,b,6,4,7,Donatella Cesareni & Francesca Martini & Ilaria Mancini,"Building a community among teachers, researchers and university students. A blended approach to training"
2,editorial,e,7,1,0,Gerry Stahl,Ethnomethodologically informed
5,,c,7,1,1,Christian Greiffenhagen,Making rounds: The routine work of the teacher during collaborative learning with computers
0,,c,7,1,2,Ulrika Bennerstedt & Jonas Ivarsson & Jonas Linderoth,How gamers manage aggression: Situating skills in collaborative computer games
0,,c,7,1,3,Kenneth Silseth,The multivoicedness of game play: Exploring the unfolding of a student’s learning trajectory in a gaming context at school
16,,c,7,1,4,Maarit Arvaja,Personal and shared experiences as resources for meaning making in a philosophy of science course
2,,c,7,1,5,Sarah Pollack & Yifat Ben-David Kolikant,Collaboration amidst disagreement and moral judgment: The dynamics of Jewish and Arab students’ collaborative inquiry of their joint past
5,,c,7,1,6,Yangjie Song & Chee-Kit Looi,"Linking teacher beliefs, practices and student inquiry-based learning in a CSCL environment: A tale of two teachers"
10,,c,7,1,7,Javier Onrubia & Anna Engel,The role of teacher assistance on the effects of a macro-script in collaborative writing tasks
3,editorial,e,7,2,0,Gerry Stahl,Cognizing mediating: Unpacking the entanglement of artifacts with collective minds
3,,b,7,2,1,Maarten Overdijk & Wouter van Diggelen & Paul A. Kirschner & Michael Baker,Connecting agents and artifacts in CSCL: Towards a rationale of mutual shaping
13,,c,7,2,2,Jacques Lonchamp,An instrumental perspective on CSCL systems
3,,c,7,2,3,Giuseppe Ritella & Kai Hakkarainen,Instrumental genesis in technology-mediated learning: From double stimulation to expansive knowledge practices
4,,b,7,2,4,Carmen Zahn & Karsten Krauskopf & Friedrich W. Hesse & Roy Pea,How to improve collaborative learning with video tools in the classroom? Social vs. cognitive guidance for student teams
15,,c,7,2,5,Jin Mu & Karsten Stegmann & Elijah Mayfield & Carolyn Rosé & Frank Fischer,The ACODEA framework: Developing segmentation and classification schemes for fully automatic analysis of online discussions
10,,b,7,2,6,Nikol Rummel & Dejana Mullins & Hans Spada,Scripted collaborative learning with the cognitive tutor algebra
13,editorial,e,7,3,0,Gerry Stahl & Nancy Law & Friedrich Hesse,An international research community
6,,b,7,3,1,Noel Enyedy & Joshua A. Danish & Girlie Delacruz & Melissa Kumar,Learning physics through play in an augmented reality environment
3,,b,7,3,2,Kim MacKinnon,Context matters: The value of analyzing human factors within educational contexts as a way of informing technology-related decisions within design research
5,,c,7,3,3,Eun Mee Lim,Patterns of kindergarten children’s social interaction with peers in the computer area
2,,c,7,3,4,Mingzhu Qiu & Jim Hewitt & Clare Brett,"Online class size, note reading, note writing and collaborative discourse"
6,,c,7,3,5,Mar Pérez-Sanagustín & Patricia Santos & Davinia Hernández-Leo & Josep Blat,4SPPIces: A case study of factors in a scripted collaborative-learning blended course across spatial locations
13,editorial,e,7,4,0,Gerry Stahl,Traversing planes of learning
14,,c,7,4,1,Jacques Lonchamp,Computational analysis and mapping of ijCSCL content
6,,b,7,4,2,Markus Nivala & Hans Rystedt & Roger Säljö & Pauliina Kronqvist & Erno Lehtinen,Interactive visual tools as triggers of collaborative reasoning in entry-level pathology
6,,b,7,4,3,Susan A. Yoon & Karen Elinich & Joyce Wang & Christopher Steinmeier & Sean Tucker,Using augmented reality and knowledge-building scaffolds to improve learning in a science museum
16,,c,7,4,4,Chia-Ching Lin & Chin-Chung Tsai,Participatory learning through behavioral and cognitive engagements in an online collective information searching activity
10,,a,7,4,5,Péricles Sobreira & Pierre Tchounikine,A model for flexibly editing CSCL scripts
8,,c,8,1,0,Diler Oner,Analyzing group coordination when solving geometry problems with dynamic geometry software
3,editorial,e,8,1,1,Gerry Stahl,Learning across levels
0,,c,8,1,2,Magnus Hontvedt & Hans Christian Arnseth,On the bridge to learn: Analysing the social organization of nautical instruction in a ship simulator
6,,c,8,1,3,Anniken Furberg & Anders Kluge & Sten Ludvigsen,Student sensemaking with science diagrams in a computer-based setting
8,,c,8,1,4,Alan Zemel & Timothy Koschmann,Recalibrating reference within a dual-space interaction environment
2,,c,8,1,5,Evren Eryilmaz & Jakko van der Pol & Terry Ryan & Philip Martin Clark & Justin Mary,Enhancing student knowledge acquisition from online learning conversations
2,editorial,e,8,2,0,Gerry Stahl,Transactive discourse in CSCL
12,,c,8,2,1,Richard Alterman · Johann Ari Larusson,
10,,a,8,2,2,Omid Noroozi & Stephanie D. Teasley & Harm J. A. Biemans & Armin Weinberger & Martin Mulder,Facilitating learning in multidisciplinary groups with transactive CSCL scripts
1,,b,8,2,3,Florencia Gómez & Miguel Nussbaum & Juan F. Weitz & Ximena Lopez & Javiera Mena & Alex Torres,Co-located single display collaborative learning for early childhood education
2,,d,8,2,4,Gahgene Gweon & Mahaveer Jain & John McDonough & Bhiksha Raj & Carolyn P. Rosé,Measuring prevalence of other-oriented transactive contributions using an automated measure of speech style accommodation
13,editorial,e,8,3,0,Gerry Stahl & Nancy Law & Friedrich Hesse,Collaborative Learning at CSCL 2013
8,,b,8,3,1,Raija Hämäläinen & Bram De Wever,Vocational education approach: New TEL settings—new prospects for teachers’ instructional activities?
2,,c,8,3,2,Annika Lantz-Andersson & Sylvi Vigmo & Rhonwen Bowen,Crossing boundaries in Facebook: Students’ framing of language learning activities as extended spaces
