id,authors,editorial,title
2018_v13i3_10.1007_s11412-018-9283-0_Comparing_effects_of_two_collaboration_scripts_on_learning_activities_for_wiki-based_environments,Sven Heimbuch & Lisa Ollesch & Daniel Bodemer,,Comparing effects of two collaboration scripts on learning activities for wiki-based environments
2024_v19i4_10.1007_s11412-024-09434-3_Comparing_the_effectiveness_of_CSCL_scripts_for_shared_task_perceptions_in_socially_shared_regulation_of_collaborative_l,Mariel Miller & Allyson F. Hadwin,,Comparing the effectiveness of CSCL scripts for shared task perceptions in socially shared regulation of collaborative learning
2025_v20i1_10.1007_s11412-024-09430-7_Comparing_the_effects_of_a_collaboration_script_and_collaborative_reflection_on_promoting_,Sebastian Strauss & Isis Tunnigkeit & Julia Eberle & Arlind Avdullahu & Nikol Rummel,,Comparing the effects of a collaboration script and collaborative reflection on promoting knowledge about good collaboration and effective interaction
ijCSCL_6_2_4,Bas Kolloffel & Tessa H. S. Eysink & Ton de Jong,,Comparing the effects of representational tools in collaborative and individual inquiry learning
ijCSCL_7_4_1,Jacques Lonchamp,,Computational analysis and mapping of ijCSCL content
ijCSCL_5_1_2,Oliver Scheuer & Frank Loll & Niels Pinkwart & Bruce M. McLaren,,Computer-supported argumentation: A review of the state of the art
2019_v14i2_10.1007_s11412-019-09300-7_Conceptualizing_the_designs_of_authentic_computer-supported_collaborative_learning_environments_in_schools,Yotam Hod & Ornit Sagy,,Conceptualizing the designs of authentic
manifest:10.1007/s11412-019-09300-7,,,Conceptualizing the designs of authentic computer-supported collaborative learning environments in schools
ijCSCL_10_3_0,Gerry Stahl,editorial,Conceptualizing the intersubjective group
ijCSCL_7_2_1,Maarten Overdijk & Wouter van Diggelen & Paul A. Kirschner & Michael Baker,,Connecting agents and artifacts in CSCL: Towards a rationale of mutual shaping
2018_v13i1_10.1007_s11412-018-9272-3_Connecting_levels_of_activity_with_classroom_network_technology,Tobin White,,Connecting levels of activity with classroom network technology
ijCSCL_1_4_4,Nathan Dwyer & Daniel D. Suthers,,Consistent practices in artifact-mediated collaboration
ijCSCL_10_1_1,Noel Enyedy & Joshua A. Danish & David DeLiema,,Constructing liminal blends in a collaborative augmented-reality learning environment
ijCSCL_9_3_4,Kai-Yu Tang & Chin-Chung Tsai & Tzu-Chiang Lin,,Contemporary intellectual structure of CSCL research (2006–2013): a co-citation network analysis with an education focus
2025_v20i1_10.1007_s11412-023-09392-2_Contesting_sociocomputational_norms_Computer_programming_instructors_and_students_stancetaking_around_refactoring,Morgan M. Fong & David DeLiema & Virginia J. Flood & Oia Walker-van Aalst,,Contesting sociocomputational norms: Computer programming instructors and students’ stancetaking around refactoring
ijCSCL_7_3_2,Kim MacKinnon,,Context matters: The value of analyzing human factors within educational contexts as a way of informing technology-related decisions within design research
ijCSCL_3_3_2,Thomas Herrmann & Andrea Kienle,,Context-oriented communication and the design of computer-supported discursive learning
ijCSCL_2_2_1,Maarit Arvaja,,Contextual perspective in analysing collaborative knowledge construction of two small groups in web-based discussion
ijCSCL_4_4_3,Gustav Lymer & Jonas Ivarsson & Oskar Lindwall,,Contrasting the use of tools for presentation and critique: Some cases from architectural education
2016_v11i3_10.1007_s11412-016-9240-8_Contribution_to_a_theory_of_CSCL_scripts_taking_into_account_the_appropriation_of_scripts_by_learners,Pierre Tchounikine,,Contribution to a theory of CSCL scripts: taking into account the appropriation of scripts by learners
2016_v11i4_10.1007_s11412-016-9246-2_Conversational_agents_for_academically_productive_talk_a_comparison_of_directed_and_undirected_agent_interventions,Stergios Tegos & Stavros Demetriadis & Pantelis M. Papadopoulos & Armin Weinberger,,Conversational agents for academically productive talk: a comparison of directed and undirected agent interventions
2023_v18i2_10.1007_s11412-023-09397-x_Coordinating_modalities_of_mathematical_collaboration_in_shared_VR_environments,Wen Huang & Candace Walkington & Mitchell J. Nathan,,Coordinating modalities of mathematical collaboration in shared VR environments
2019_v14i3_10.1007_s11412-019-09314-1_Correction_to_A_handheld_classroom_dashboard_teachers_perspectives_on_the_use_of_real-time,Roberto Martinez-Maldonado,,Correction to: A handheld classroom dashboard: teachers’ perspectives on the use of real-time collaborative learning analytics
manifest:10.1007/s11412-022-09368-8,,,Correction to: Many are the ways to learn: Identifying multi-modal behavioral profiles of collaborative learning in constructivist activities
2025_v20i2_10.1007_s11412-022-09368-8_Correction_to_Many_are_the_ways_to_learn_Identifying_multi-modal_behavioral_profiles_of_co,Jauwairia Nasir & Aditi Kothiyal & Barbara Bruno & Pierre Dillenbourg,,Correction to: Many are the ways to learn: Identifying multi‑modal behavioral profiles of collaborative learning in constructivist activities
2026_v21i2_10.1007_s11412-026-09474-x_Correction_A_temporal_network_approach_to_reveal_the_longitudinal_dynamics_of_CSCL_group_r,Mohammed Saqr & Sonsoles Lopez-Pernas,,Correction: A temporal network approach to reveal the longitudinal dynamics of CSCL group regulation and productive collaboration
manifest:10.1007/s11412-023-09391-3,,,Correction: An artificial intelligence-driven learning analytics method to examine the collaborative problem-solving process from the complex adaptive systems perspective
2025_v20i2_10.1007_s11412-023-09391-3_Correction_An_artificial_intelligence-driven_learning_analytics_method_to_examine_the_coll,Fan Ouyang & Weiqi Xu & Mutlu Cukurova,,Correction: An artificial intelligence‑driven learning analytics method to examine the collaborative problem‑solving process from the complex adaptive systems perspective
manifest:10.1007/s11412-024-09439-y,,,Correction: Collaborative Problem-Solving in Knowledge-Rich Domains: A Multi-Study Structural Equation Model
2025_v20i1_10.1007_s11412-024-09439-y_Correction_Collaborative_Problem-Solving_in_Knowledge-Rich_Domains_A_Multi-Study_Structura,Laura Brandl & Matthias Stadler & Constanze Richters & Anika Radkowitsch & Martin R. Fischer & Ralf Schmidmaier & Frank Fischer,,Correction: Collaborative Problem‑Solving in Knowledge‑Rich Domains: A Multi‑Study Structural Equation Model
2025_v20i1_10.1007_s11412-023-09410-3_Correction_Contesting_sociocomputational_norms_computer_programming_instructors_and_studen,Morgan M. Fong & David DeLiema & Virginia J. Flood & Oia Walker-van Aalst,,Correction: Contesting sociocomputational norms: computer programming instructors and students’ stancetaking around refactoring
2026_v21i2_10.1007_s11412-026-09465-y_Co-constructing_critical_data_literacy_in_families_A_technology-mediated_learning_perspective,Ge Wang & Roy Pea,,Co‑constructing critical data literacy in families: A technology‑mediated learning perspective
2023_v18i4_10.1007_s11412-023-09409-w_Co-constructing_knowledge_with_generative_AI_tools_Reflections_from_a_CSCL_perspective,Ulrike Cress & Joachim Kimmerle,,Co‑constructing knowledge with generative AI tools: Reflections from a CSCL perspective
2017_v12i3_10.1007_s11412-017-9261-y_Cracking_her_codes_understanding_shared_technology_resources_as_positioning_artifacts_for_power_and_status_in_CSCL_envir,Amber Simpson & Nicole Bannister & Gretchen Matthews,,Cracking her codes: understanding shared technology resources as positioning artifacts for power and status in CSCL environments
2022_v17i2_10.1007_s11412-022-09371-z_Cross-community_knowledge_building_with_idea_thread_mapper,Guangji Yuan & Jianwei Zhang & Mei-Hwa Chen,,Cross-community knowledge building with idea thread mapper
ijCSCL_8_3_2,Annika Lantz-Andersson & Sylvi Vigmo & Rhonwen Bowen,,Crossing boundaries in Facebook: Students’ framing of language learning activities as extended spaces
ijCSCL_2_4_0,Gerry Stahl,editorial,CSCL and its flash themes
ijCSCL_9_3_0,G. Stahl & S. Ludvigsen & N. Law & U. Cress,editorial,CSCL artifacts
ijCSCL_6_2_7,Ulrike Cress & Katrin Wodzicki & Martina Bientzle & Andreas Lingnau,,CSCL for intellectually disabled pupils: Stimulating interaction by using a floor control mechanism
2024_v19i1_10.1007_s11412-024-09419-2_CSCL_has_come_of_age,Michael J. Baker & Peter Reimann,editorial,CSCL has come of age
ijCSCL_6_1_0,Gerry Stahl & Friedrich Hesse,editorial,CSCL in Asia
ijCSCL_3_4_0,Gerry Stahl & Friedrich Hesse,editorial,CSCL practices
2016_v11i1_10.1007_s11412-016-9230-x_CSCL_towards_the_future_The_second_decade_of_ijCSCL,Gerry Stahl,editorial,CSCL towards the future: The second decade of ijCSCL
2024_v19i3_10.1007_s11412-024-09433-4_CSCL_a_learning_and_collaboration_science,Michael Baker & Peter Reimann,editorial,CSCL: a learning and collaboration science?
2016_v11i2_10.1007_s11412-016-9236-4_CSCL_connecting_the_social_emotional_and_cognitive_dimensions,Sten Ludvigsen,editorial,"CSCL: connecting the social, emotional and cognitive dimensions"
2022_v17i1_10.1007_s11412-022-09364-y_CSsCL_the_performance_of_collaborative_learning,Charles Crook,,CSsCL: the performance of collaborative learning
ijCSCL_3_3_3,Nancy Ares,,Cultural practices in networked classroom learning environments
