year,volume,issue,article_number,editorial,authors,title
2008,3,4,5,,Gijsbert Erkens & Jeroen Janssen,Automatic coding of dialogue acts in collaboration protocols
2009,4,1,0,editorial,Gerry Stahl,Yes we can!
2009,4,1,1,,Diana Laurillard,The pedagogical challenges to collaborative technologies
2009,4,1,2,,Manu Kapur & Charles K. Kinzer,Productive failure in CSCL groups
2009,4,1,3,,Deborah A. Fields & Yasmin B. Kafai,A connective ethnography of peer knowledge sharing and diffusion in a tween virtual world
2009,4,1,4,,Nikol Rummel & Hans Spada & Sabine Hauser,Learning to collaborate while being scripted or by observing a model
2009,4,1,5,,Annika Lantz-Andersson,The power of natural frameworks: Technology and the question of agency in CSCL settings
2009,4,2,0,editorial,Gerry Stahl & Friedrich Hesse,Practice perspectives in CSCL
2009,4,2,1,,Murat Perit Çakır & Alan Zemel & Gerry Stahl,The joint organization of interaction within a multimodal CSCL medium
2009,4,2,2,,Nina Bonderup Dohn,Affordances revisited: Articulating a Merleau-Pontian view
2009,4,2,3,,Norm Friesen,Genre and CSCL: The form and rhetoric of the online posting
2009,4,2,4,,Hanni Muukkonen & Minna Lakkala,Exploring metaskills of knowledge-creating inquiry in higher education
2009,4,2,5,,Kai Hakkarainen,A knowledge-practice perspective on technology-mediated learning
2009,4,3,0,editorial,Gerry Stahl & Friedrich Hesse,Classical dialogs in CSCL
2009,4,3,1,,Peter Reimann,Time is precious: Variable- and event-centred approaches to process analysis in CSCL research
2009,4,3,2,,"construction, and knowledge-creation discourses Jan van Aalst","Distinguishing knowledge-sharing, knowledge- construction, and knowledge-creation discourses Jan van Aalst"
2009,4,3,3,,Jacques Lonchamp,A three-level analysis of collaborative learning in dual-interaction spaces
2009,4,3,4,,Asta Cekaite,Collaborative corrections with spelling control: Digital resources and peer assistance
2009,4,3,5,,Nina Bonderup Dohn,Web 2.0: Inherent tensions and evident challenges for education
2009,4,4,0,editorial,Gerry Stahl & Friedrich Hesse,Paradigms of shared knowledge
